labelId	label	rawLabel	scope	kind	path	area	line	encoding	incomingStaticCalls	outgoingCalls	entryKind
original-game/ERB/イベント関係/ADD_ANGEL.ERB:127:ADD_ANGEL_ASSI	ADD_ANGEL_ASSI	ADD_ANGEL_ASSI		global	original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	127	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/ADD_CATASTROPH.ERB:58:ADD_CATASTROPH_ASSI	ADD_CATASTROPH_ASSI	ADD_CATASTROPH_ASSI		global	original-game/ERB/イベント関係/ADD_CATASTROPH.ERB	イベント関係	58	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/EVENT_K.ERB:16:EVENTSHOP	EVENTSHOP	EVENTSHOP		global	original-game/ERB/イベント関係/EVENT_K.ERB	イベント関係	16	utf-8-sig	3	0	engine-entry
original-game/ERB/イベント関係/EVENT_K.ERB:84:SINGLE_ENDING	SINGLE_ENDING	SINGLE_ENDING		global	original-game/ERB/イベント関係/EVENT_K.ERB	イベント関係	84	utf-8-sig	0	1	unreferenced-global
original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB:381:EVENT_JUNIORHIGHSCHOOL	EVENT_JUNIORHIGHSCHOOL	EVENT_JUNIORHIGHSCHOOL		global	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB	イベント関係	381	utf-8-sig	0	2	unreferenced-global
original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB:449:EVENT_HIGHSCHOOL	EVENT_HIGHSCHOOL	EVENT_HIGHSCHOOL		global	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB	イベント関係	449	utf-8-sig	0	2	unreferenced-global
original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB:590:SOMETIMES_SHE_COMES_BACK	SOMETIMES_SHE_COMES_BACK	SOMETIMES_SHE_COMES_BACK		global	original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB	イベント関係	590	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB:1126:CHECK_CHILD_CARE	CHECK_CHILD_CARE	CHECK_CHILD_CARE		global	original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB	イベント関係	1126	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/EVENT_TURNEND.ERB:6:EVENTTURNEND	EVENTTURNEND	EVENTTURNEND		global	original-game/ERB/イベント関係/EVENT_TURNEND.ERB	イベント関係	6	utf-8-sig	13	52	engine-entry
original-game/ERB/イベント関係/EVENT_TURNEND.ERB:394:RESTLIFE	RESTLIFE	RESTLIFE		global	original-game/ERB/イベント関係/EVENT_TURNEND.ERB	イベント関係	394	utf-8-sig	0	1	unreferenced-global
original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB:7:WORK_MESSAGE_STRIP_01	WORK_MESSAGE_STRIP_01	WORK_MESSAGE_STRIP_01		global	original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB	イベント関係	7	utf-8-sig	0	4	unreferenced-global
original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB:192:WORK_MESSAGE_STRIP_02	WORK_MESSAGE_STRIP_02	WORK_MESSAGE_STRIP_02		global	original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB	イベント関係	192	utf-8-sig	0	1	unreferenced-global
original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB:293:BF_COMMONEV_0	BF_COMMONEV_0	BF_COMMONEV_0		global	original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB	イベント関係	293	utf-8-sig	0	2	unreferenced-global
original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB:490:BF_COMMONEV_1	BF_COMMONEV_1	BF_COMMONEV_1		global	original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB	イベント関係	490	utf-8-sig	0	1	unreferenced-global
original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB:4:DECIDE_BOYFRIEND2	DECIDE_BOYFRIEND2	DECIDE_BOYFRIEND2		global	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB	イベント関係	4	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB:356:DECIDE_SEXFRIEND2	DECIDE_SEXFRIEND2	DECIDE_SEXFRIEND2		global	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB	イベント関係	356	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/NTR関係/COMPA.ERB:101:COMPA_TAKEOUT	COMPA_TAKEOUT	COMPA_TAKEOUT		global	original-game/ERB/イベント関係/NTR関係/COMPA.ERB	イベント関係	101	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB:31:JOB_EXEC_203	JOB_EXEC_203	JOB_EXEC_203(ARG)		global	original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB	イベント関係	31	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB:52:JOB_EXEC_402	JOB_EXEC_402	JOB_EXEC_402(ARG)		global	original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB	イベント関係	52	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB:62:JOB_EXEC_421	JOB_EXEC_421	JOB_EXEC_421(ARG)		global	original-game/ERB/イベント関係/職業素質系/JOB_EXEC.ERB	イベント関係	62	utf-8-sig	0	0	unreferenced-global
original-game/ERB/イベント関係/職業素質系/MODEL_EVENT.ERB:20:MODEL_EVENT0	MODEL_EVENT0	MODEL_EVENT0		global	original-game/ERB/イベント関係/職業素質系/MODEL_EVENT.ERB	イベント関係	20	utf-8-sig	0	0	unreferenced-global
original-game/ERB/クリアボーナス関係/CLEARBONUS_CALL.ERB:24:CLEARBONUS_CALL_MIHIRO	CLEARBONUS_CALL_MIHIRO	CLEARBONUS_CALL_MIHIRO		global	original-game/ERB/クリアボーナス関係/CLEARBONUS_CALL.ERB	クリアボーナス関係	24	utf-8-sig	0	1	unreferenced-global
