path	area	encoding	lineCount	labelCount	callCount	inputCount	stateReadCount	stateWriteCount	coreStateReadCount	coreStateWriteCount	labels	topWrittenFamilies	topReadFamilies	topCoreWrittenFamilies	topCoreReadFamilies
original-game/ERB/TIPS関係/TESTMODE.ERB	TIPS関係	utf-8-sig	4	1	0	0	0	0	0	0	TESTMODE@1				
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	utf-8-sig	377	6	16	1	10	10	0	0	TIPS_MAIN@4, TIPS_MISSION@50, TIPS_ACHIEVEMENT@84, TIPS_HINT@178, TIPS_EXTRACHARA@297, TIPS_PREGNANCY@361	RESULT:10	RESULT:10		
original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB	TIPS関係	utf-8-sig	116	6	12	1	6	6	0	0	TIPS_BEAUTY@4, TIPS_BEAUTYPOINT@38, TIPS_DOWNBEAUTY@51, TIPS_BEAUTY_RECOVER@73, TIPS_BEAUTYSENSE@90, TIPS_MAXBEAUTY@104	RESULT:6	RESULT:6		
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	utf-8-sig	191	9	18	1	22	9	0	0	TIPS_CHARACLEAR@4, TIPS_RETIRE@47, TIPS_ASSI@73, TIPS_LOVE@90, TIPS_LEWDNESS@110, TIPS_TRUELOVE@128, TIPS_PEERLESS@144, TIPS_SEXFRIEND@160, TIPS_OVERLAP@176	RESULT:9	RESULT:9, C:4, V:4, A:4, B:1		
original-game/ERB/TIPS関係/TIPS_TALENT.ERB	TIPS関係	utf-8-sig	113	5	10	1	8	5	0	0	TIPS_TALENT@4, TIPS_TALENT_CVAB@35, TIPS_TALENT_CVAB_END@60, TIPS_TALENT_SM@80, TIPS_TALENT_OTHERS@98	RESULT:5	RESULT:5, C:1, V:1, A:1		
original-game/ERB/ZNAME.ERB	(root)	replace	3259	0	0	0	13505	0	0	0			L:1857, E:1763, S:1522, R:1368, A:1243, F:1094, N:813, C:734, T:678, I:640		
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	utf-8-sig	246	2	0	0	263	161	195	115	ADD_ANGEL@4, ADD_ANGEL_ASSI@127	TALENT:75, LOCAL:46, CFLAG:14, BASE:8, MAXBASE:6, EXP:2, JUEL:2, PALAM:2, ABL:2, MARK:2	TALENT:87, LOCAL:68, ASSI:60, CFLAG:14, MAXBASE:12, BASE:8, EXP:2, JUEL:2, PALAM:2, ABL:2	TALENT:75, CFLAG:14, BASE:8, MAXBASE:6, EXP:2, JUEL:2, PALAM:2, ABL:2, MARK:2, FLAG:2	TALENT:87, ASSI:60, CFLAG:14, MAXBASE:12, BASE:8, EXP:2, JUEL:2, PALAM:2, ABL:2, MARK:2
original-game/ERB/イベント関係/ADD_CATASTROPH.ERB	イベント関係	utf-8-sig	80	3	0	0	141	72	84	42	ADD_CATASTROPH@4, ADD_CATASTROPH_LABO@31, ADD_CATASTROPH_ASSI@58	LOCAL:30, TALENT:18, MAXBASE:15, BASE:9	LOCAL:36, MAXBASE:33, T:21, ASSI:21, TALENT:18, BASE:12	TALENT:18, MAXBASE:15, BASE:9	MAXBASE:33, ASSI:21, TALENT:18, BASE:12
original-game/ERB/イベント関係/BLACKGIRL.ERB	イベント関係	utf-8-sig	492	6	12	0	554	179	276	163	BLACKGIRL_EVENT@4, START_BGEVENT@20, EVENT_BGTATTO@46, EVENT_BGSEX@153, EVENT_BGGUIDANCE@448, SUNBURN_AFTER@474	NO:66, TALENT:42, CFLAG:32, S:14, CSTR:10, EXP:9, COUNT:2, FLAG:2, ABL:2	COUNT:249, NO:79, TALENT:49, CFLAG:44, CSTR:42, S:25, ABL:15, CALLNAME:10, EXP:9, MASTER:7	NO:66, TALENT:42, CFLAG:32, CSTR:10, EXP:9, FLAG:2, ABL:2	NO:79, TALENT:49, CFLAG:44, CSTR:42, ABL:15, CALLNAME:10, EXP:9, MASTER:7, NAME:5, EXPNAME:5
original-game/ERB/イベント関係/CALC_COOKING.ERB	イベント関係	utf-8-sig	107	2	1	0	70	15	31	8	START_COOCKING@4, COOKING_DETAIL@17	TALENT:5, A:4, B:2, EXP:2, COUNT:1, CFLAG:1	COUNT:27, TALENT:14, A:7, CALLNAME:6, B:5, ABL:4, MASTER:2, EXP:2, CHARANUM:1, CFLAG:1	TALENT:5, EXP:2, CFLAG:1	TALENT:14, CALLNAME:6, ABL:4, MASTER:2, EXP:2, CHARANUM:1, CFLAG:1, NAME:1
original-game/ERB/イベント関係/EGG_ITEM.ERB	イベント関係	utf-8-sig	133	2	16	0	55	35	54	35	EGG_ITEM@1, EGG_ITEM_USE@120	ITEM:33, MONEY:2	ITEM:34, ITEMNAME:17, MONEY:2, NAME:1, C:1	ITEM:33, MONEY:2	ITEM:34, ITEMNAME:17, MONEY:2, NAME:1
original-game/ERB/イベント関係/ENDING.ERB	イベント関係	utf-8-sig	178	5	5	0	13	6	12	5	ENDING_CHECK@7, ENDING_CHECK_2@47, BAD_END@68, BAD_END_2@89, NORMAL_END_01@110	FLAG:4, RESULT:1, MONEY:1	FLAG:8, MONEY:3, DAY:1, RESULT:1	FLAG:4, MONEY:1	FLAG:8, MONEY:3, DAY:1
original-game/ERB/イベント関係/EVENT_ADDICT.ERB	イベント関係	utf-8-sig	316	10	30	1	200	78	157	67	APHRODISIAC_ADDICT@7, PRECIPITATE_WITHDRAWAL@68, SUFFER_FROM_WITHDRAWAL@191, PRECIPITATE_WITHDRAWAL_FALL_INTO_DISFAVOR@268, PRECIPITATE_WITHDRAWAL_BE_A_ATHYMIA@274, PRECIPITATE_WITHDRAWAL_BE_A_DEPRESSION@280, PRECIPITATE_WITHDRAWAL_BE_A_RESISTER@286, PRECIPITATE_WITHDRAWAL_BE_A_MISANTHROPIST@292, PRECIPITATE_WITHDRAWAL_BE_A_CRAZY@305, PRECIPITATE_WITHDRAWAL_BE_A_WRECK@311	TALENT:34, BASE:14, CFLAG:8, RELATION:6, V:4, MAXBASE:4, U:3, W:3, RESULT:1, ITEM:1	TALENT:46, BASE:22, CFLAG:19, COUNT:18, TARGET:17, CALLNAME:15, W:10, MAXBASE:10, TALENTNAME:9, RELATION:9	TALENT:34, BASE:14, CFLAG:8, RELATION:6, MAXBASE:4, ITEM:1	TALENT:46, BASE:22, CFLAG:19, TARGET:17, CALLNAME:15, MAXBASE:10, TALENTNAME:9, RELATION:9, CHARANUM:3, NAME:2
