path	area	family	reads	writes
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	RESULT	10	10
original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB	TIPS関係	RESULT	6	6
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	A	4	0
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	B	1	0
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	C	4	0
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	RESULT	9	9
original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB	TIPS関係	V	4	0
original-game/ERB/TIPS関係/TIPS_TALENT.ERB	TIPS関係	A	1	0
original-game/ERB/TIPS関係/TIPS_TALENT.ERB	TIPS関係	C	1	0
original-game/ERB/TIPS関係/TIPS_TALENT.ERB	TIPS関係	RESULT	5	5
original-game/ERB/TIPS関係/TIPS_TALENT.ERB	TIPS関係	V	1	0
original-game/ERB/ZNAME.ERB	(root)	A	1243	0
original-game/ERB/ZNAME.ERB	(root)	B	9	0
original-game/ERB/ZNAME.ERB	(root)	C	734	0
original-game/ERB/ZNAME.ERB	(root)	D	28	0
original-game/ERB/ZNAME.ERB	(root)	E	1763	0
original-game/ERB/ZNAME.ERB	(root)	F	1094	0
original-game/ERB/ZNAME.ERB	(root)	G	323	0
original-game/ERB/ZNAME.ERB	(root)	H	9	0
original-game/ERB/ZNAME.ERB	(root)	I	640	0
original-game/ERB/ZNAME.ERB	(root)	K	5	0
original-game/ERB/ZNAME.ERB	(root)	L	1857	0
original-game/ERB/ZNAME.ERB	(root)	M	217	0
original-game/ERB/ZNAME.ERB	(root)	N	813	0
original-game/ERB/ZNAME.ERB	(root)	O	593	0
original-game/ERB/ZNAME.ERB	(root)	P	7	0
original-game/ERB/ZNAME.ERB	(root)	Q	1	0
original-game/ERB/ZNAME.ERB	(root)	R	1368	0
original-game/ERB/ZNAME.ERB	(root)	S	1522	0
original-game/ERB/ZNAME.ERB	(root)	T	678	0
original-game/ERB/ZNAME.ERB	(root)	U	579	0
original-game/ERB/ZNAME.ERB	(root)	W	6	0
original-game/ERB/ZNAME.ERB	(root)	X	14	0
original-game/ERB/ZNAME.ERB	(root)	Z	2	0
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	ABL	2	2
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	ASSI	60	0
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	BASE	8	8
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	CFLAG	14	14
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	EXP	2	2
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	FLAG	2	2
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	JUEL	2	2
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	LOCAL	68	46
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	MARK	2	2
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	MASTER	2	0
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	MAXBASE	12	6
original-game/ERB/イベント関係/ADD_ANGEL.ERB	イベント関係	PALAM	2	2
