address	family	index	addressKind	sourceKinds	labels	readCount	writeCount	charaSeedCount	fileCount	familyOwnerDomain	familyOwnerPath	familyPersistence	familyStatus	mappingAction	sampleEvidence
A	A		family-declaration	erbUsage|variableSize		2484	1684	0	178	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	variableSize:original-game/CSV/VariableSize.CSV:None A,1000
A:0	A	0	script-scratch	erbUsage		4	8	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:298 SIF A:0 != 100
A:1	A	1	script-scratch	erbUsage		4	10	0	3	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:300 SIF A:1 != 100
A:10	A	10	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:273 SIF A:10 > 0
A:11	A	11	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:275 SIF A:11 > 0
A:12	A	12	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:277 SIF A:12 > 0
A:13	A	13	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:279 SIF A:13 > 0
A:14	A	14	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:281 SIF A:14 > 0
A:15	A	15	script-scratch	erbUsage		3	11	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:283 SIF A:15 > 0
A:16	A	16	script-scratch	erbUsage		4	5	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:306 SIF A:16 != 100
A:17	A	17	script-scratch	erbUsage		4	5	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:308 SIF A:17 != 100
A:2	A	2	script-scratch	erbUsage		4	9	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:302 SIF A:2 != 100
A:20	A	20	script-scratch	erbUsage		4	7	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:310 SIF A:20 != 100
A:21	A	21	script-scratch	erbUsage		4	7	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:312 SIF A:21 != 100
A:22	A	22	script-scratch	erbUsage		4	5	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:314 SIF A:22 != 100
A:23	A	23	script-scratch	erbUsage		4	5	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:316 SIF A:23 != 100
A:3	A	3	script-scratch	erbUsage		7	10	0	3	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:304 SIF A:3 != 100
A:30	A	30	script-scratch	erbUsage		3	6	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:285 SIF A:30 > 0
A:31	A	31	script-scratch	erbUsage		3	6	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:287 SIF A:31 > 0
A:32	A	32	script-scratch	erbUsage		3	6	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:289 SIF A:32 > 0
A:33	A	33	script-scratch	erbUsage		3	6	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:291 SIF A:33 > 0
A:37	A	37	script-scratch	erbUsage		2	0	0	1	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:295 SIF A:37 > 0
A:39	A	39	script-scratch	erbUsage		3	7	0	2	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SELL_CHARA.ERB:293 SIF A:39 > 0
ABL:<dynamic>	ABL	<dynamic>	dynamic-index	erbUsage	A | ASSI:LOCAL | B:COUNT | C:COUNT | E | LCOUNT | LOCAL | LOCAL:COUNT | TARGET:COUNT | X	21	7	0	8	people	people.characters.*.attributes.abilities	save	needsIndexMapping	define-pattern-mapping	erbUsage:original-game/ERB/イベント関係/ADD_ANGEL.ERB:19 ABL:LOCAL = 0
ABL	ABL		family-declaration	erbUsage|variableSize		3	0	0	3	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	variableSize:original-game/CSV/VariableSize.CSV:None ABL,1000
ABL:0	ABL	0	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | C감각	485	14	26	102	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:5 0,C감각
ABL:1	ABL	1	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | B감각	241	13	17	60	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:6 1,B감각
ABL:10	ABL	10	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | 신뢰	991	52	23	160	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:11 10,신뢰
ABL:109	ABL	109	fixed-index	charaSeed	2	0	0	1	1	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	charaSeed:original-game/CSV/Chara44_高城沙織.csv:18 能力,109,2
ABL:11	ABL	11	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 4 | 5 | 욕망	503	23	26	120	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:12 11,욕망
ABL:12	ABL	12	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 5 | 기교	780	20	23	117	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:13 12,기교
ABL:13	ABL	13	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 4 | 5 | 봉사기술	194	7	10	52	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:14 13,봉사기술
ABL:14	ABL	14	fixed-index	charaSeed|csvDefinition|erbUsage	2 | 3 | 5 | 성교기술	85	11	4	25	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:15 14,성교기술
