candidate	family	domains	accessKeyCount	totalCount	readCount	writeCount	fileCount	sampleAccessKeys	sampleFiles
TALENT:122	TALENT	people|body|missingMapping	18	1066	1058	8	50	TALENT:(LOCAL:4):122, TALENT:122, TALENT:ARG:122, TALENT:ASSI:122, TALENT:C:122, TALENT:COUNT:122, TALENT:C_NUM:122, TALENT:D:122	original-game/ERB/システム関係/面接/INTERVIEW.ERB:669 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:671 | original-game/ERB/イベント関係/ADD_ANGEL.ERB:66
ABL:10	ABL	people	7	1043	991	52	26	ABL:10, ABL:ASSI:10, ABL:COUNT:10, ABL:LOCAL:10, ABL:RESULT:10, ABL:T:10, ABL:TARGET:10	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:22 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:28 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:45
CFLAG:40	CFLAG	people|body|feature-state|world|missingMapping	9	913	816	97	22	CFLAG:40, CFLAG:ASSI:40, CFLAG:C:40, CFLAG:CNUM:40, CFLAG:COUNT:40, CFLAG:C_NUM:40, CFLAG:D:40, CFLAG:L:40	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:113 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:114 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:120
SOURCE:5	SOURCE	feature-session	1	836	560	276	10	SOURCE:5	original-game/ERB/システム関係/SEIIN.ERB:166 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1189 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1981
SOURCE:1	SOURCE	feature-session	1	801	617	184	10	SOURCE:1	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:161 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:287 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:289
ABL:12	ABL	people	9	800	780	20	33	ABL:12, ABL:ASSI:12, ABL:COUNT:12, ABL:LOCAL:12, ABL:MASTER:12, ABL:PLAYER:12, ABL:TARGET:12, ABL:f_actor:12	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:538 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:539 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:542
SOURCE:4	SOURCE	feature-session	1	760	387	373	10	SOURCE:4	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1118 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1160 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1979
SOURCE:13	SOURCE	feature-session	1	744	371	373	10	SOURCE:13	original-game/ERB/システム関係/SEIIN.ERB:102 | original-game/ERB/システム関係/SEIIN.ERB:105 | original-game/ERB/システム関係/SEIIN.ERB:107
ABL:16	ABL	people	7	691	681	10	18	ABL:16, ABL:ASSI:16, ABL:COUNT:16, ABL:LOCAL:16, ABL:RESULT:16, ABL:f_actor:16, ABL:s_actor:16	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:209 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:212 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:263
PALAM:5	PALAM	body|feature-session	2	688	685	3	12	PALAM:5, PALAM:TARGET:5	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:209 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:212 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:217
SOURCE:3	SOURCE	feature-session	1	667	340	327	10	SOURCE:3	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1056 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1057 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1977
SOURCE:6	SOURCE	feature-session	1	641	279	362	10	SOURCE:6	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:158 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1250 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1251
ABL:11	ABL	people	8	526	503	23	25	ABL:11, ABL:ASSI:11, ABL:COUNT:11, ABL:LOCAL:11, ABL:RESULT:11, ABL:TARGET:11, ABL:f_actor:11, ABL:s_actor:11	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:209 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:212 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:217
SOURCE:2	SOURCE	feature-session	1	525	409	116	10	SOURCE:2	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:162 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:376 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:378
SOURCE:0	SOURCE	feature-session	1	501	264	237	10	SOURCE:0	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:160 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:200 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:202
ABL:0	ABL	people	8	499	485	14	29	ABL:0, ABL:ASSI:0, ABL:C:0, ABL:D:0, ABL:LOCAL:0, ABL:MASTER:0, ABL:PLAYER:0, ABL:TARGET:0	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:402 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:634 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:158
LOSEBASE:0	LOSEBASE	feature-session|body	1	475	189	286	10	LOSEBASE:0	original-game/ERB/システム関係/CHEAT.ERB:982 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:910 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:913
TALENT:76	TALENT	people|body|missingMapping	12	458	441	17	37	TALENT:76, TALENT:ARG:76, TALENT:ASSI:76, TALENT:COUNT:76, TALENT:C_NUM:76, TALENT:LOCAL:76, TALENT:RESULT:76, TALENT:T:76	original-game/ERB/イベント関係/ADD_ANGEL.ERB:99 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:169 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:226
ABL:32	ABL	people	4	443	437	6	13	ABL:32, ABL:ASSI:32, ABL:COUNT:32, ABL:PLAYER:32	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:584 | original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB:428 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:98
PALAMLV:4	PALAMLV	catalog	1	436	436	0	10	PALAMLV:4	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:209 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:212 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:318
ABL:2	ABL	people	9	399	380	19	23	ABL:2, ABL:ASSI:2, ABL:C:2, ABL:COUNT:2, ABL:D:2, ABL:L:2, ABL:LOCAL:2, ABL:PLAYER:2	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:135 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:191 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:193
SOURCE:7	SOURCE	feature-session	1	398	53	345	10	SOURCE:7	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1362 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1363 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1985
EXP:0	EXP	people|body|missingMapping	10	392	360	32	25	EXP:(LOCAL:4):0, EXP:0, EXP:ASSI:0, EXP:C:0, EXP:COUNT:0, EXP:D:0, EXP:L:0, EXP:LOCAL:0	original-game/ERB/システム関係/面接/INTERVIEW.ERB:1424 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1425 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:257
TALENT:121	TALENT	people|body|missingMapping	18	384	367	17	42	TALENT:(GETCHARA(104)):121, TALENT:(GETCHARA(F)):121, TALENT:(LOCAL:1):121, TALENT:121, TALENT:ARG:121, TALENT:ASSI:121, TALENT:C:121, TALENT:COUNT:121	original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:209 | original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:208 | original-game/ERB/イベント関係/EVENT_MAEKOJO.ERB:54
CFLAG:42	CFLAG	people|body|feature-state|world|missingMapping	10	381	373	8	23	CFLAG:(LOCAL:4):42, CFLAG:42, CFLAG:ASSI:42, CFLAG:C:42, CFLAG:CNUM:42, CFLAG:COUNT:42, CFLAG:C_NUM:42, CFLAG:D:42	original-game/ERB/システム関係/面接/INTERVIEW.ERB:724 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:113 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:120
TALENT:85	TALENT	people|body|missingMapping	12	366	349	17	33	TALENT:(LOCAL:1):85, TALENT:85, TALENT:ASSI:85, TALENT:C:85, TALENT:COUNT:85, TALENT:C_NUM:85, TALENT:LOCAL:85, TALENT:PLAYER:85	original-game/ERB/訪問関係/MIYAKO_LABO.ERB:72 | original-game/ERB/イベント関係/ADD_ANGEL.ERB:100 | original-game/ERB/イベント関係/BLACKGIRL.ERB:168
ABL:3	ABL	people	8	358	337	21	17	ABL:3, ABL:C:3, ABL:COUNT:3, ABL:D:3, ABL:L:3, ABL:LOCAL:3, ABL:PLAYER:3, ABL:TARGET:3	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:135 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:135 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:300
SOURCE:14	SOURCE	feature-session	1	348	179	169	10	SOURCE:14	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1588 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1590 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1592
TALENT:432	TALENT	people|body|missingMapping	12	347	334	13	28	TALENT:(LOCAL:1):432, TALENT:432, TALENT:ARG:432, TALENT:ASSI:432, TALENT:COUNT:432, TALENT:C_NUM:432, TALENT:L:432, TALENT:LOCAL:432	original-game/ERB/イベント関係/GETTALENT_GAL.ERB:16 | original-game/ERB/イベント関係/ADD_ANGEL.ERB:114 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:1426
PALAM:3	PALAM	body|feature-session	2	343	333	10	12	PALAM:3, PALAM:TARGET:3	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:353 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:564 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:676
STAIN:2	STAIN	body	4	328	195	133	24	STAIN:2, STAIN:ASSI:2, STAIN:MASTER:2, STAIN:PLAYER:2	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:755 | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:803 | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:1821
BASE:0	BASE	body|people	13	327	264	63	39	BASE:(GETCHARA(104)):0, BASE:(LOCAL:4):0, BASE:0, BASE:ASSI:0, BASE:C:0, BASE:CNUM:0, BASE:COUNT:0, BASE:D:0	original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:188 | original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:201 | original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:220
ABL:17	ABL	people	5	324	317	7	21	ABL:17, ABL:ASSI:17, ABL:COUNT:17, ABL:LOCAL:17, ABL:RESULT:17	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:676 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:679 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:767
SOURCE:17	SOURCE	feature-session	1	313	176	137	10	SOURCE:17	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:163 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:466 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:468
