key	family	domain	numericSlotCandidate	totalCount	readCount	writeCount	fileCount	topFiles
A	A	script		4168	2484	1684	177	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (212) | original-game/ERB/イベント関係/EVENT_NEXTDAY.ERB (78) | original-game/ERB/指導関係/COMF3.ERB (78)
B	B	script		3638	2405	1233	136	original-game/ERB/指導関係/COMF_VAGINASEX.ERB (212) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (161) | original-game/ERB/娼館関係/WORK_RESULT.ERB (124)
RESULT	RESULT	script|ui-session		2612	2610	2	189	original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (236) | original-game/ERB/システム関係/CHEAT.ERB (149) | original-game/ERB/訪問関係/SHOP_LABO.ERB (114)
C	C	script		1772	1111	661	89	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (131) | original-game/ERB/システム関係/ACTRESS_INFO.ERB (114) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (109)
S	S	script		1694	282	1412	88	original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (226) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (191) | original-game/ERB/システム関係/INFO.ERB (70)
LOCAL	LOCAL	script		1129	696	433	114	original-game/ERB/能力上昇関係/ABL_AUTO.ERB (111) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (64) | original-game/ERB/イベント関係/ADD_ANGEL.ERB (56)
E	E	script		1060	422	638	101	original-game/ERB/システム関係/面接/INTERVIEW.ERB (99) | original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (81) | original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (66)
D	D	script		1004	481	523	51	original-game/ERB/娼館関係/WORK_S_STRIP.ERB (59) | original-game/ERB/娼館関係/WORK_NORMAL.ERB (57) | original-game/ERB/システム関係/ACTRESS_INFO.ERB (55)
ABL:10	ABL	people	ABL:10	924	882	42	123	original-game/ERB/指導関係/COMF_VAGINASEX.ERB (60) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (40) | original-game/ERB/指導関係/COMABLE.ERB (40)
CFLAG:40	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:40	873	779	94	24	original-game/ERB/指導関係/COMABLE.ERB (256) | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (149) | original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (149)
NO:TARGET	NO	people		853	853	0	47	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (398) | original-game/ERB/システム関係/ビデオ周り/SPECIAL_TITLE.ERB (231) | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (51)
SOURCE:5	SOURCE	feature-session	SOURCE:5	836	560	276	54	original-game/ERB/指導関係/COMF65.ERB (34) | original-game/ERB/指導関係/COMF122.ERB (31) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB2.ERB (29)
SOURCE:1	SOURCE	feature-session	SOURCE:1	801	617	184	33	original-game/ERB/指導関係/COMF120.ERB (45) | original-game/ERB/指導関係/COMF121.ERB (43) | original-game/ERB/指導関係/COMF134.ERB (36)
SOURCE:4	SOURCE	feature-session	SOURCE:4	760	387	373	58	original-game/ERB/指導関係/COMF70.ERB (31) | original-game/ERB/指導関係/COMF65.ERB (28) | original-game/ERB/指導関係/COMF100.ERB (25)
